Date,Change_in_Neg,Future_Return,Predicted_Return
1999-09-10,0.0,0.43160531766226007,0.12869388555992417
1999-12-10,0.016999999999999994,2.34266708214795,0.12971094137220618
2000-06-14,0.007000000000000006,0.10448509143316365,0.12911267324733441
2000-09-13,0.0,-0.2896028049696505,0.12869388555992417
2000-12-08,0.0040000000000000036,0.9507533776742945,0.12893319280987287
2001-06-12,0.002999999999999989,-0.21937134021936333,0.1288733659973857
2001-09-10,-0.031999999999999994,0.3186376366019359,0.1267794275603345
2001-11-23,0.019999999999999997,-0.2558558181867129,0.1298904218096677
2002-05-14,-0.017999999999999995,-0.13828346478875186,0.127617002935155
2002-06-10,0.017999999999999995,-0.6699970380422209,0.12977076818469335
2002-09-10,0.0020000000000000018,0.3330188552845643,0.12881353918489852
2002-12-10,-0.0020000000000000018,-0.0383251061182317,0.12857423193494982
2003-04-25,-0.022,0.5483387648766558,0.12737769568520627
2003-05-22,0.031999999999999994,-0.011439457578303225,0.13060834355951384
2003-09-09,-0.000999999999999987,-0.047251306842150176,0.128634058747437
2003-11-21,0.0,0.2854250601813737,0.12869388555992417
2004-03-29,-0.024000000000000007,-0.16732295593180624,0.12725804206023192
2004-05-20,0.024999999999999994,-0.4486995940864619,0.1301895558721036
2004-08-19,-0.01899999999999999,0.6723836601046984,0.12755717612266781
2004-11-22,0.0,0.25897422203650833,0.12869388555992417
2005-03-22,-0.009000000000000001,0.1556010910812291,0.12815544424753958
2005-06-02,0.02899999999999999,0.035248362878912864,0.1304288631220523
2005-08-25,-0.008999999999999994,0.283622840217469,0.12815544424753958
2005-11-23,0.0010000000000000009,0.2832892138835341,0.12875371237241134
2006-03-16,-0.022,-0.050020821952026284,0.12737769568520627
2006-05-31,0.016999999999999994,0.5883376335828823,0.12971094137220618
2006-11-29,-0.0049999999999999906,-0.022739646741247843,0.12839475149748827
2006-12-07,0.0010000000000000009,-0.2052145049287475,0.12875371237241134
2007-03-16,-0.012000000000000004,0.16895940405143062,0.12797596381007806
2007-05-24,0.020999999999999998,0.46077242961378184,0.1299502486221549
2007-08-22,-0.016,-0.07942569140901112,0.12773665656012934
2007-11-21,0.007000000000000006,-0.20397171500114664,0.12911267324733441
2008-05-22,-0.017000000000000008,-0.4241014754652459,0.12767682974764216
2008-08-21,0.026000000000000002,-0.47063141712713663,0.13024938268459077
2008-12-02,0.007999999999999993,0.3592233202336488,0.1291725000598216
2009-03-13,-0.01899999999999999,-0.007142923177156146,0.12755717612266781
2009-05-20,0.01899999999999999,0.4080164906273316,0.12983059499718053
2009-08-20,0.0020000000000000018,-0.052554764748382055,0.12881353918489852
2009-11-19,-0.0020000000000000018,0.34514635595006093,0.12857423193494982
2010-03-18,0.0,-0.2709049135313393,0.12869388555992417
2010-05-21,0.0050000000000000044,-0.24273364572099132,0.12899301962236007
2010-08-30,-0.011999999999999997,0.5539418058851397,0.12797596381007806
2010-12-07,-0.0050000000000000044,0.17022705089004941,0.12839475149748827
2011-03-16,0.006000000000000005,0.11237873566401246,0.12905284643484724
2011-05-27,0.0059999999999999915,-0.3600000234750601,0.12905284643484724
2011-08-25,-0.00399999999999999,0.20833337154144038,0.12845457830997548
2011-11-22,-0.043000000000000003,-0.01923076679842295,0.12612133262297556
2012-03-13,0.005999999999999998,-0.1588911688661896,0.12905284643484724
2012-05-23,-0.006999999999999999,0.17684894189294398,0.12827509787251393
2012-08-22,-0.0049999999999999975,-0.20081970390106862,0.12839475149748827
2012-11-19,0.0010000000000000009,0.08888888707754172,0.12875371237241134
2013-03-12,-0.0020000000000000018,0.13029826351923202,0.12857423193494982
2013-05-22,0.0010000000000000009,0.033333368654605344,0.12875371237241134
2013-08-21,-0.010000000000000002,0.03763437242173873,0.1280956174350524
2013-11-19,0.009000000000000001,0.14896374697166714,0.12923232687230876
2014-03-13,0.0020000000000000018,0.028184893261049115,0.12881353918489852
2014-05-21,-0.0010000000000000009,0.05537282026072754,0.128634058747437
2014-08-20,0.0029999999999999957,0.039480531370484906,0.1288733659973857
2014-11-19,0.0020000000000000018,0.13293352408725845,0.12881353918489852
2015-03-12,-0.0020000000000000018,-0.07190115373978734,0.12857423193494982
2015-05-20,-0.005999999999999998,0.09268054994007802,0.1283349246850011
2015-08-19,0.0030000000000000027,0.3497173116820915,0.1288733659973857
2015-11-18,-0.0040000000000000036,0.057686076976114276,0.12845457830997548
2016-03-17,0.006999999999999999,0.37629489911508784,0.12911267324733441
2016-05-25,-0.005999999999999998,0.39273859636025343,0.1283349246850011
2016-08-23,-0.002999999999999999,0.4886345851697109,0.12851440512246265
2016-11-22,0.0010000000000000009,0.09759742915885306,0.12875371237241134
2017-03-01,0.007999999999999997,0.3331063095515281,0.1291725000598216
2017-05-23,-0.001999999999999995,0.20995405771548215,0.12857423193494982
2017-08-23,-0.0030000000000000027,0.30307598959641413,0.12851440512246265
2017-11-21,0.0,0.12011106957506268,0.12869388555992417
2018-02-28,-0.0010000000000000009,0.0028925493729015095,0.128634058747437
2018-05-22,-0.0010000000000000009,0.060733439136826606,0.128634058747437
2018-08-16,-0.0019999999999999983,-0.21383624351187336,0.12857423193494982
2018-11-15,0.0,-0.2303473257462343,0.12869388555992417
2019-02-21,0.002999999999999999,0.028375155984551315,0.1288733659973857
2019-05-16,0.0,-0.0712903302009904,0.12869388555992417
2019-08-15,-0.002999999999999999,0.410163253755901,0.12851440512246265
2019-11-14,0.0010000000000000009,0.4714715767495876,0.12875371237241134
2020-02-20,0.0009999999999999974,0.13705861964857435,0.12875371237241134
